Table 2 in Morel, A. and S. Maritorena (2001). "Bio-optical properties of oceanic waters: A reappraisal." Journal of Geophysical Research: Oceans 106(C4): 7163-7180.
λ　　Ｋｗ　　ｅ　　　　ｃｈｉ
350 0.02710 0.77800 0.15300 
355 0.02380 0.76700 0.14900 
360 0.02160 0.75600 0.14400 
365 0.01880 0.73700 0.14000 
370 0.01770 0.72000 0.13600 
375 0.01595 0.70000 0.13100 
380 0.01510 0.68500 0.12700 
385 0.01376 0.67300 0.12300 
390 0.01271 0.67000 0.11900 
395 0.01208 0.66000 0.11800 
400 0.01042 0.64358 0.11748 
405 0.00890 0.64776 0.12066 
410 0.00812 0.65175 0.12259 
415 0.00765 0.65555 0.12326 
420 0.00758 0.65917 0.12269 
425 0.00768 0.66259 0.12086 
430 0.00770 0.66583 0.11779 
435 0.00792 0.66889 0.11372 
440 0.00885 0.67175 0.10963 
445 0.00990 0.67443 0.10560 
450 0.01148 0.67692 0.10165 
455 0.01182 0.67923 0.09776 
460 0.01188 0.68134 0.09393 
465 0.01211 0.68327 0.09018 
470 0.01251 0.68501 0.08649 
475 0.01320 0.68657 0.08287 
480 0.01444 0.68794 0.07932 
485 0.01526 0.68903 0.07584 
490 0.01660 0.68955 0.07242 
495 0.01885 0.68947 0.06907 
500 0.02188 0.68880 0.06579 
505 0.02701 0.68753 0.06257 
510 0.03385 0.68567 0.05943 
515 0.04090 0.68320 0.05635 
520 0.04214 0.68015 0.05341 
525 0.04287 0.67649 0.05072
530 0.04454 0.67224 0.04829
535 0.04630 0.66739 0.04611
540 0.04846 0.66195 0.04419
545 0.05212 0.65591 0.04253
550 0.05746 0.64927 0.04111
555 0.06053 0.64204 0.03996
560 0.06280 0.64000 0.03900
565 0.06507 0.63000 0.03750
570 0.07034 0.62300 0.03600
575 0.07801 0.61500 0.03400
580 0.09038 0.61000 0.03300
585 0.11076 0.61400 0.03280
590 0.13584 0.61800 0.03250
595 0.16792 0.62200 0.03300
600 0.22310 0.62600 0.03400
605 0.25838 0.63000 0.03500
610 0.26506 0.63400 0.03600
615 0.26843 0.63800 0.03750
620 0.27612 0.64200 0.03850
625 0.28400 0.64700 0.04000
630 0.29218 0.65300 0.04200
635 0.30176 0.65800 0.04300
640 0.31134 0.66300 0.04400
645 0.32553 0.66700 0.04450
650 0.34052 0.67200 0.04500
655 0.37150 0.67700 0.04600
660 0.41048 0.68200 0.04750
665 0.42947 0.68700 0.04900
670 0.43946 0.69500 0.05150
675 0.44844 0.69700 0.05200
680 0.46543 0.69300 0.05050
685 0.48642 0.66500 0.04400
690 0.51640 0.64000 0.03900
695 0.55939 0.62000 0.03400
700 0.62438 0.60000 0.03000
